Total Mapping Time,UP-Index,UP-Start,UP-End,Initiation Sites,Location,Termination Sites,Location,Direction,Complete,Duration,Magnitude
,1,2,4,Middle Uterus,Center,Cervix,Right,F-C(Vertical),No,3,
,2,10,16,Fundus,Center,Cervix,Center,F-C(Vertical),Yes,7,
,3,19,21,Middle Uterus,Center,Fundus,Center,C-F(Vertical),No,3,
,4,26,30,Cervix,Center,Middle Uterus,Center,C-F(Vertical),No,5,
,5,33,38,Fundus,Center,Cervix,Center,F-C(Vertical),Yes,6,
,6,47,49,Cervix,Center,Cervix,Center,No peristalsis visualized,No,3,
,7,54,57,Middle Uterus,Right,Middle Uterus,Center,C-F(Vertical),No,4,
,8,64,72,Fundus,Center,Fundus,Center,Other,Yes,9,
,9,80,85,Middle Uterus,Center,Fundus,Center,C-F(Vertical),No,6,
,10,88,90,Cervix,Right,Middle Uterus,Center,C-F(Vertical),No,3,
,11,93,98,Fundus,Center,Middle Uterus,Center,F-C(Vertical),No,6,
,12,105,108,Cervix,Center,Fundus,Center,C-F(Vertical),Yes,4,
,13,121,124,Fundus,Center,Middle Uterus,Center,F-C(Vertical),No,4,
,14,127,132,Cervix,Center,Fundus,Center,C-F(Vertical),Yes,6,
,15,136,141,Cervix,Center,Fundus,Center,C-F(Vertical),Yes,6,
,16,163,169,Cervix,Center,Fundus,Center,C-F(Vertical),Yes,7,
,17,179,182,Middle Uterus,Center,Cervix,Center,F-C(Vertical),No,4,
,18,189,196,Fundus,Center,Cervix,Center,F-C(Vertical),Yes,8,
,19,210,212,Middle Uterus,Center,Fundus,Center,C-F(Vertical),No,3,
,20,217,219,Cervix,Center,Middle Uterus,Center,No peristalsis visualized,No,3,
,21,225,227,Fundus,Center,Middle Uterus,Center,No peristalsis visualized,No,3,
,22,232,237,Middle Uterus,Center,Middle Uterus,Center,F-C(Vertical),No,6,
,23,245,256,Cervix,Center,Fundus,Center,C-F(Vertical),Yes,12,
,24,262,264,Cervix,Center,Fundus,Center,C-F(Vertical),Yes,3,
,25,273,276,Fundus,Center,Middle Uterus,Center,F-C(Vertical),No,4,
,26,280,286,Cervix,Center,Fundus,Center,C-F(Vertical),Yes,7,
,27,288,291,Middle Uterus,Center,Cervix,Center,F-C(Vertical),No,4,
,28,302,304,Middle Uterus,Center,Fundus,Center,C-F(Vertical),No,3,
,29,307,311,Cervix,Center,Middle Uterus,Center,C-F(Vertical),Yes,5,
,30,313,316,Middle Uterus,Center,Cervix,Center,P-A,No,4,
,31,321,327,Fundus,Center,Cervix,Center,Other,Yes,7,
,32,335,340,Middle Uterus,Center,Fundus,Center,Other,Yes,6,
,33,344,346,Middle Uterus,Left,Cervix,Center,F-C(Vertical),No,3,
,34,358,360,Cervix,Center,Middle Uterus,Center,C-F(Vertical),No,3,
,35,364,369,Fundus,Center,Cervix,Center,F-C(Vertical),Yes,6,
,36,379,381,Cervix,Center,Cervix,Center,No peristalsis visualized,No,3,
,37,391,394,Cervix,Center,Middle Uterus,Center,C-F(Vertical),No,4,
,38,398,405,Fundus,Center,Cervix,Center,F-C(Vertical),Yes,8,
,39,411,416,Fundus,Center,Cervix,Center,F-C(Vertical),Yes,6,
,40,420,427,Fundus,Center,Fundus,Center,Other,Yes,8,
,41,452,457,Cervix,Center,Middle Uterus,Center,Other,No,6,
,42,464,467,Middle Uterus,Center,Middle Uterus,Center,Other,No,4,
,43,472,480,Middle Uterus,Center,Cervix,Center,F-C(Vertical),No,9,
,44,493,497,Fundus,Center,Cervix,Center,F-C(Vertical),Yes,5,
,45,518,523,Middle Uterus,Center,Cervix,Center,F-C(Vertical),No,6,
,46,527,531,Middle Uterus,Center,Fundus,Center,C-F(Vertical),No,5,
,47,539,541,Cervix,Center,Fundus,Center,C-F(Vertical),Yes,3,
,48,543,546,Middle Uterus,Center,Cervix,Center,F-C(Vertical),No,4,
,49,549,555,Fundus,Center,Middle Uterus,Center,F-C(Vertical),No,7,
,50,559,570,Cervix,Center,Fundus,Center,C-F(Vertical),Yes,12,
,51,572,575,Middle Uterus,Center,Cervix,Center,F-C(Vertical),No,4,
,52,579,582,Middle Uterus,Center,Fundus,Center,C-F(Vertical),No,4,
,53,589,597,Fundus,Center,Middle Uterus,Center,F-C(Vertical),No,9,
